[2025-06-01 11:35:12.807] [info]  DiscordSplash.signalReady
[2025-06-01 11:35:13.009] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-01 11:35:13.009] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":1,"total":6}
[2025-06-01 11:35:13.010] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-01 11:35:13.010] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":2,"total":6}
[2025-06-01 11:35:13.010] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-01 11:35:13.010] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":3,"total":6}
[2025-06-01 11:35:13.010] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-01 11:35:13.011] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":4,"total":6}
[2025-06-01 11:35:13.011] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-01 11:35:13.011] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":5,"total":6}
[2025-06-01 11:35:13.011] [info]  DiscordSplash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-01 11:35:13.011] [info]  Splash.onStateUpdate: {"status":"installing-updates","current":6,"total":6}
[2025-06-01 11:35:13.011] [info]  DiscordSplash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-01 11:35:13.011] [info]  Splash.onStateUpdate: {"status":"checking-for-updates","current":6,"total":6}
[2025-06-01 11:35:13.504] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-01 11:35:13.504] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6}
[2025-06-01 11:35:13.807] [info]  Splash.updateCountdownSeconds: undefined
[2025-06-01 11:35:14.273] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-06-01 11:35:14.273] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":1}
[2025-06-01 11:35:14.291] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-06-01 11:35:14.292] [info]  Splash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":2}
[2025-06-01 11:35:14.345] [info]  DiscordSplash.onStateUpdate: {"status":"downloading-updates","current":1,"total":6,"progress":3}
